10-165: shutter
10-167: curtain
10-169: pane
10-171: opacity
10-173: jar
10-175: barrel
10-177: bucket
10-179: pail
10-181: phone
10-183: bell
10-185: camera
10-187: portable
10-189: spotlight
10-191: lantern
10-193: bulb
10-195: flashlight
10-197: refrigerator
10-199: fridge
10-201: vacuum
10-203: fan
10-205: switch
10-207: hurdle
10-209: fence
10-211: pedal
10-213: shelf
10-215: ladder
10-217: lift
10-219: stool
10-221: drawer
10-223: umbrella
10-225: raincoat
10-227: dredge
10-229: can
10-231: mill
10-233: forge
10-235: alloy
10-237: metal
10-239: iron
10-241: lead
10-243: brass
10-245: bronze
10-247: cement
10-249: pitch
10-251: lime
10-253: plaster
10-255: leather
10-257: plastic
10-259: fiber
10-259: fibre
10-261: fabric
10-263: knit
10-265: weave
10-267: canvas
10-269: linen
10-271: cotton
10-273: nylon
10-275: lumber
10-277: wooden
10-279: mine
10-281: pit
10-283: fuel
10-285: lubricate
10-287: diamond
10-289: crystal
10-291: inferior
10-293: counterfeit
10-295: fake
10-297: fragile
10-299: miniature
10-301: available
10-303: durable
11-001: fashion
11-003: style
11-005: trend
11-007: tendency
11-009: current
11-011: popularity
11-013: vogue
11-015: prevail
11-017: model
11-019: icon
11-021: idol
11-023: luxury
11-025: extravagant
11-027: jewelry
11-027: jewellery
11-029: jewel
11-031: gem
11-033: jade
11-035: adorn
11-037: ornaments
11-039: embellish
11-041: embroider
11-043: hairdressing
11-045: pigment
11-047: dye
11-049: masquerade
11-051: veil
11-053: costume
11-055: fascinate
11-057: decent
11-059: exquisite
11-061: grace
11-063: elegance
11-065: perfect
11-067: appearance
11-069: cosmetics
11-071: make-up
11-073: handsome
11-075: charming
11-077: pretty
11-079: beautiful
11-081: ugly
11-083: dress
11-085: clothe
11-087: uniform
11-089: garment
11-091: laundry
11-093: wardrobe
11-095: overall
11-097: overcoat
11-099: robe
11-101: gown
11-103: sweater
11-105: jacket
11-107: skirt
11-109: jeans
11-111: trousers
11-113: clasp
11-115: button
11-117: glove
11-119: hat
11-121: cap
11-123: brim
11-125: scarf
11-127: handkerchief
11-129: purse
11-131: wallet
11-133: vest
11-135: wrap
11-137: cloak
11-139: collar
11-141: sleeve
11-143: sock
11-145: stocking
11-147: slipper
11-149: boot
11-151: lace
11-153: tailor
11-155: sew
11-157: spin
11-159: stitch
11-161: needle
11-163: pin
11-165: string
11-167: thread
11-169: strap
11-171: stripe
11-173: ribbon
11-175: belt
11-177: chain
11-179: bracelet
11-181: necklace
11-183: bead
11-185: textile
11-187: velvet
11-189: wool
11-191: patch
11-193: rag
11-195: shabby
11-197: tight
11-199: color
11-201: white
11-203: yellow
11-205: brown
11-207: grey
11-207: gray
11-209: pink
11-211: purple
11-213: tan
11-215: fade
11-217: stain
11-219: blot
11-221: figure
11-223: slender
11-225: slight
12-001: food
12-003: diet
12-005: appetite
12-007: treat
12-009: cater
12-011: provision
12-013: edible
12-015: recipe
12-017: restaurant
12-019: refectory
12-021: bar
12-023: cafeteria
12-025: buffet
12-027: barbecue
12-029: supper
